수행시각,합성종류,아이템명,뽑기횟수,뽑기확률(%),기대확률(%),오차(%)
2023-02-24 17:27,일반합성,메테오스 쉐도우,14265,1.4265,1.425,0.1053
2023-02-24 17:27,일반합성,트로글다이트,14266,1.4266,1.425,0.1123
2023-02-24 17:27,일반합성,곰인형,14046,1.4046,1.425,1.4316
2023-02-24 17:27,일반합성,문엘프 전사,14353,1.4353,1.425,0.7228
2023-02-24 17:27,일반합성,문엘프 마법사,14303,1.4303,1.425,0.3719
2023-02-24 17:27,고급합성,인퍼날,34038,3.4038,3.4249,0.6161
2023-02-24 17:27,고급합성,버서커,34304,3.4304,3.4249,0.1606
2023-02-24 17:27,고급합성,가고일,34368,3.4368,3.4249,0.3475
2023-02-24 17:27,고급합성,데몬 스토커,34199,3.4199,3.4249,0.146
2023-02-24 17:27,고급합성,캐노네이드 키틴,34189,3.4189,3.4249,0.1752
2023-02-24 17:27,고급합성,데몬,34132,3.4132,3.4249,0.3416
2023-02-24 17:27,고급합성,러스트 뱀파이어,34511,3.4511,3.4249,0.765
2023-02-24 17:27,고급합성,뱀파이어 퀸,34333,3.4333,3.4249,0.2453
2023-02-24 17:27,고급합성,데빌,34041,3.4041,3.4249,0.6073
2023-02-24 17:27,고급합성,스켈레톤 나이트,34263,3.4263,3.4249,0.0409
2023-02-24 17:27,고급합성,뮤,34442,3.4442,3.4249,0.5635
2023-02-24 17:27,고급합성,노움,34550,3.455,3.4249,0.8789
2023-02-24 17:27,고급합성,오크 전사,34670,3.467,3.4249,1.2292
2023-02-24 17:27,고급합성,트롤,34144,3.4144,3.4249,0.3066
2023-02-24 17:27,고급합성,루움,34301,3.4301,3.4249,0.1518
2023-02-24 17:27,고급합성,본보우 아크리언,34220,3.422,3.4248,0.0818
2023-02-24 17:27,고급합성,메테오스 레인저,34238,3.4238,3.4248,0.0292
2023-02-24 17:27,고급합성,임프,34220,3.422,3.4248,0.0818
2023-02-24 17:27,고급합성,뱅갈 나이트,34118,3.4118,3.4248,0.3796
2023-02-24 17:27,고급합성,바바야가,34006,3.4006,3.4248,0.7066
2023-02-24 17:27,고급합성,메테오스 쉐도우,34461,3.4461,3.4248,0.6219
2023-02-24 17:27,고급합성,트로글다이트,34034,3.4034,3.4248,0.6249
2023-02-24 17:27,고급합성,곰인형,34193,3.4193,3.4248,0.1606
2023-02-24 17:27,고급합성,문엘프 전사,34251,3.4251,3.4248,0.0088
2023-02-24 17:27,고급합성,문엘프 마법사,33855,3.3855,3.4248,1.1475
2023-02-24 17:27,고급합성,레프리컨,3201,0.3201,0.3219,0.5592
2023-02-24 17:27,고급합성,몽크마스터,3199,0.3199,0.3219,0.6213
2023-02-24 17:27,고급합성,래서 아스타로트,3112,0.3112,0.3219,3.324
2023-02-24 17:27,고급합성,드래곤 나이트,3242,0.3242,0.3219,0.7145
2023-02-24 17:27,고급합성,크루얼 크루세이더,3202,0.3202,0.3219,0.5281
2023-02-24 17:27,고급합성,퓨리,3238,0.3238,0.3219,0.5902
2023-02-24 17:27,고급합성,광휘의 엘윈더,1731,0.1731,0.1764,1.8707
2023-02-24 17:27,고급합성,수호자 엘리엇,3365,0.3365,0.3219,4.5356
2023-02-24 17:27,고급합성,래서 루시퍼,3214,0.3214,0.3219,0.1553
2023-02-24 17:27,고급합성,드래곤 나이트 아처,3319,0.3319,0.3219,3.1066
2023-02-24 17:27,고급합성,님로드 크루세이더,3184,0.3184,0.3219,1.0873
2023-02-24 17:27,고급합성,광휘의 엘로라,3183,0.3183,0.3219,1.1184
2023-02-24 17:27,고급합성,파이어 데몬,3229,0.3229,0.3219,0.3107
2023-02-24 17:27,고급합성,네크로맨서,3156,0.3156,0.3219,1.9571
2023-02-24 17:27,고급합성,쉐이드 웨폰,3216,0.3216,0.3219,0.0932
2023-02-24 17:27,고급합성,시아페,3163,0.3163,0.3219,1.7397
2023-02-24 17:27,고급합성,골든 엠페러,3216,0.3216,0.3219,0.0932
2023-02-24 17:27,고급합성,레이커,3142,0.3142,0.3219,2.392
2023-02-24 17:27,고급합성,타락한 엘프,3250,0.325,0.3219,0.963
2023-02-24 17:27,고급합성,데스마스터,1690,0.169,0.1764,4.195
2023-02-24 17:27,고급합성,문라이트 네메시스,3168,0.3168,0.3219,1.5843
2023-02-24 17:27,고급합성,가이아,3117,0.3117,0.3219,3.1687
2023-02-24 17:27,고급합성,수호자 엘리시스,1832,0.1832,0.1764,3.8549
2023-02-24 17:27,고급합성,골든 엠페러 아처,3231,0.3231,0.3219,0.3728
2023-02-24 17:27,고급합성,타락한 엘프 아처,3084,0.3084,0.3219,4.1938
2023-02-24 17:27,고급합성,데스마스터 아처,1795,0.1795,0.1764,1.7574
2023-02-24 17:27,고급합성,스핀들 네메시스,3238,0.3238,0.3219,0.5902
2023-02-24 17:27,고급합성,가이아 거너,3255,0.3255,0.3218,1.1498
2023-02-24 17:27,고급합성,미드나잇 셀린느,1812,0.1812,0.1764,2.7211
2023-02-24 17:27,고급합성,캡틴 라이칸,1754,0.1754,0.1764,0.5669
2023-02-24 17:27,고급합성,프린세스,1751,0.1751,0.1764,0.737
2023-02-24 17:27,고급합성,차크람 소녀,3179,0.3179,0.3218,1.2119
2023-02-24 17:27,고급합성,헌터 노바,1784,0.1784,0.1764,1.1338
2023-02-24 17:27,고급합성,길가메쉬 나이트,3260,0.326,0.3218,1.3052
2023-02-24 17:27,고급합성,길가메쉬 아처,3271,0.3271,0.3218,1.647
2023-02-24 17:27,고급합성,바바리안,3193,0.3193,0.3218,0.7769
2023-02-24 17:27,고급합성,에리세드,3317,0.3317,0.3218,3.0764
2023-02-24 17:27,고급합성,아스모데우스,1702,0.1702,0.1764,3.5147
2023-02-24 17:27,고급합성,글래디에이터,3235,0.3235,0.3218,0.5283
2023-02-24 17:27,고급합성,아크데몬,3173,0.3173,0.3218,1.3984
2023-02-24 17:27,고급합성,아수라,3240,0.324,0.3218,0.6837
2023-02-24 17:27,고급합성,헤라클레스,3222,0.3222,0.3218,0.1243
2023-02-24 17:27,고급합성,라르카 집정관,3360,0.336,0.3218,4.4127
2023-02-24 17:27,고급합성,리치 킹,3192,0.3192,0.3218,0.808
2023-02-24 17:27,고급합성,황천의 기사,3253,0.3253,0.3218,1.0876
2023-02-24 17:27,고급합성,황천의 레인저,3133,0.3133,0.3218,2.6414
2023-02-24 17:27,고급합성,그룸프,1788,0.1788,0.1764,1.3605
2023-02-24 17:27,고급합성,캐서린,1800,0.18,0.1764,2.0408
2023-02-24 17:27,고급합성,시에나,1869,0.1869,0.1764,5.9524
2023-02-24 17:27,고급합성,코사르,1759,0.1759,0.1764,0.2834
2023-02-24 17:27,고급합성,센토,1900,0.19,0.1764,7.7098
2023-02-24 17:27,희귀합성,레프리컨,17213,1.7213,1.7452,1.3695
2023-02-24 17:27,희귀합성,몽크마스터,17159,1.7159,1.7452,1.6789
2023-02-24 17:27,희귀합성,래서 아스타로트,17491,1.7491,1.7452,0.2235
2023-02-24 17:27,희귀합성,드래곤 나이트,17334,1.7334,1.7452,0.6761
2023-02-24 17:27,희귀합성,크루얼 크루세이더,17349,1.7349,1.7452,0.5902
2023-02-24 17:27,희귀합성,퓨리,17733,1.7733,1.7452,1.6101
2023-02-24 17:27,희귀합성,광휘의 엘윈더,17322,1.7322,1.7452,0.7449
2023-02-24 17:27,희귀합성,수호자 엘리엇,17332,1.7332,1.7451,0.6819
2023-02-24 17:27,희귀합성,래서 루시퍼,17826,1.7826,1.7451,2.1489
2023-02-24 17:27,희귀합성,드래곤 나이트 아처,17571,1.7571,1.7451,0.6876
2023-02-24 17:27,희귀합성,님로드 크루세이더,17481,1.7481,1.7451,0.1719
2023-02-24 17:27,희귀합성,광휘의 엘로라,17529,1.7529,1.7451,0.447
2023-02-24 17:27,희귀합성,파이어 데몬,17359,1.7359,1.7451,0.5272
2023-02-24 17:27,희귀합성,네크로맨서,17289,1.7289,1.7451,0.9283
2023-02-24 17:27,희귀합성,쉐이드 웨폰,17647,1.7647,1.7451,1.1231
2023-02-24 17:27,희귀합성,시아페,17514,1.7514,1.7451,0.361
2023-02-24 17:27,희귀합성,골든 엠페러,17538,1.7538,1.7451,0.4985
2023-02-24 17:27,희귀합성,레이커,17567,1.7567,1.7451,0.6647
2023-02-24 17:27,희귀합성,타락한 엘프,17710,1.771,1.7451,1.4842
2023-02-24 17:27,희귀합성,데스마스터,17677,1.7677,1.7451,1.2951
2023-02-24 17:27,희귀합성,문라이트 네메시스,17298,1.7298,1.7451,0.8767
2023-02-24 17:27,희귀합성,가이아,17550,1.755,1.7451,0.5673
2023-02-24 17:27,희귀합성,수호자 엘리시스,17575,1.7575,1.7451,0.7106
2023-02-24 17:27,희귀합성,골든 엠페러 아처,17442,1.7442,1.7451,0.0516
2023-02-24 17:27,희귀합성,타락한 엘프 아처,17277,1.7277,1.7451,0.9971
2023-02-24 17:27,희귀합성,데스마스터 아처,17526,1.7526,1.7451,0.4298
2023-02-24 17:27,희귀합성,스핀들 네메시스,17404,1.7404,1.7451,0.2693
2023-02-24 17:27,희귀합성,가이아 거너,17519,1.7519,1.7451,0.3897
2023-02-24 17:27,희귀합성,미드나잇 셀린느,17608,1.7608,1.7451,0.8997
2023-02-24 17:27,희귀합성,캡틴 라이칸,17478,1.7478,1.7451,0.1547
2023-02-24 17:27,희귀합성,프린세스,17551,1.7551,1.7451,0.573
2023-02-24 17:27,희귀합성,차크람 소녀,17246,1.7246,1.7451,1.1747
2023-02-24 17:27,희귀합성,헌터 노바,17296,1.7296,1.7451,0.8882
2023-02-24 17:27,희귀합성,길가메쉬 나이트,17378,1.7378,1.7451,0.4183
2023-02-24 17:27,희귀합성,길가메쉬 아처,17470,1.747,1.7451,0.1089
2023-02-24 17:27,희귀합성,바바리안,17483,1.7483,1.7451,0.1834
2023-02-24 17:27,희귀합성,에리세드,17488,1.7488,1.7451,0.212
2023-02-24 17:27,희귀합성,아스모데우스,17395,1.7395,1.7451,0.3209
2023-02-24 17:27,희귀합성,글래디에이터,17527,1.7527,1.7451,0.4355
2023-02-24 17:27,희귀합성,아크데몬,17450,1.745,1.7451,0.0057
2023-02-24 17:27,희귀합성,아수라,17540,1.754,1.7451,0.51
2023-02-24 17:27,희귀합성,헤라클레스,17320,1.732,1.7451,0.7507
2023-02-24 17:27,희귀합성,라르카 집정관,17368,1.7368,1.7451,0.4756
2023-02-24 17:27,희귀합성,리치 킹,17321,1.7321,1.7451,0.7449
2023-02-24 17:27,희귀합성,황천의 기사,17350,1.735,1.7451,0.5788
2023-02-24 17:27,희귀합성,황천의 레인저,17569,1.7569,1.7451,0.6762
2023-02-24 17:27,희귀합성,그룸프,17492,1.7492,1.7451,0.2349
2023-02-24 17:27,희귀합성,캐서린,17439,1.7439,1.7451,0.0688
2023-02-24 17:27,희귀합성,시에나,17352,1.7352,1.7451,0.5673
2023-02-24 17:27,희귀합성,코사르,17593,1.7593,1.7451,0.8137
2023-02-24 17:27,희귀합성,센토,17311,1.7311,1.7451,0.8022
2023-02-24 17:27,희귀합성,다크 나이트,1314,0.1314,0.1319,0.3791
2023-02-24 17:27,희귀합성,메타트론 아처,2668,0.2668,0.2702,1.2583
2023-02-24 17:27,희귀합성,데빌헌터,1320,0.132,0.1319,0.0758
2023-02-24 17:27,희귀합성,메타트론,2706,0.2706,0.2702,0.148
2023-02-24 17:27,희귀합성,아폴론,2634,0.2634,0.2702,2.5167
2023-02-24 17:27,희귀합성,아르테미스,2747,0.2747,0.2702,1.6654
2023-02-24 17:27,희귀합성,다크 스팅어,1292,0.1292,0.1319,2.047
2023-02-24 17:27,희귀합성,엘더 스팅어,1316,0.1316,0.1319,0.2274
2023-02-24 17:27,희귀합성,크로노스,2756,0.2756,0.2702,1.9985
2023-02-24 17:27,희귀합성,오페르시나,2720,0.272,0.2702,0.6662
2023-02-24 17:27,희귀합성,크로노스 아처,2759,0.2759,0.2702,2.1095
2023-02-24 17:27,희귀합성,오페르시나 아처,2689,0.2689,0.2701,0.4443
2023-02-24 17:27,희귀합성,비숍,2785,0.2785,0.2701,3.11
2023-02-24 17:27,희귀합성,에리스,2659,0.2659,0.2701,1.555
2023-02-24 17:27,희귀합성,발키리,1342,0.1342,0.1319,1.7437
2023-02-24 17:27,희귀합성,암살단 암흑,2683,0.2683,0.2701,0.6664
2023-02-24 17:27,희귀합성,넵튠,2727,0.2727,0.2701,0.9626
2023-02-24 17:27,희귀합성,넵튠 아처,2684,0.2684,0.2701,0.6294
2023-02-24 17:27,희귀합성,암살단 칠흑,2772,0.2772,0.2701,2.6287
2023-02-24 17:27,희귀합성,다크 메이지,1348,0.1348,0.1319,2.1986
2023-02-24 17:27,희귀합성,네케브,2790,0.279,0.2701,3.2951
2023-02-24 17:27,희귀합성,바알베크의 사령관,2733,0.2733,0.2701,1.1847
2023-02-24 17:27,희귀합성,유피테르의 사념,2598,0.2598,0.2701,3.8134
2023-02-24 17:27,희귀합성,엘사라드,2699,0.2699,0.2701,0.074
2023-02-24 17:27,희귀합성,아바돈,2632,0.2632,0.2701,2.5546
2023-02-24 17:27,희귀합성,아누비스,2643,0.2643,0.2701,2.1474
2023-02-24 17:27,희귀합성,여신 칼리,1303,0.1303,0.1319,1.213
2023-02-24 17:27,희귀합성,센티넬,2615,0.2615,0.2701,3.184
2023-02-24 17:27,희귀합성,엠퍼사이저,2602,0.2602,0.2701,3.6653
2023-02-24 17:27,희귀합성,각성한 라르카,1254,0.1254,0.1319,4.928
2023-02-24 17:27,희귀합성,스나이퍼 로즈레인,1305,0.1305,0.1319,1.0614
2023-02-24 17:27,희귀합성,카오스 가디언,1288,0.1288,0.1319,2.3503
2023-02-24 17:27,희귀합성,이자벨,1308,0.1308,0.1319,0.834
2023-02-24 17:27,희귀합성,카를로스,1305,0.1305,0.1319,1.0614
2023-02-24 17:27,희귀합성,미드나잇 에르메스,1344,0.1344,0.1319,1.8954
2023-02-24 17:27,희귀합성,레오넬,1322,0.1322,0.1319,0.2274
2023-02-24 17:27,희귀합성,아델리아,1390,0.139,0.1319,5.3829
2023-02-24 17:27,희귀합성,이안,1286,0.1286,0.1319,2.5019
2023-02-24 17:27,희귀합성,팔란,1273,0.1273,0.1319,3.4875
2023-02-24 17:27,희귀합성,수라,2630,0.263,0.2701,2.6287
2023-02-24 17:27,희귀합성,베놈리퍼,1360,0.136,0.1319,3.1084
2023-02-24 17:27,희귀합성,다크 어쌔신,1360,0.136,0.1319,3.1084
2023-02-24 17:27,희귀합성,오페르시나 어쌔신,2743,0.2743,0.2701,1.555
2023-02-24 17:27,희귀합성,메타트론 어쌔신,2689,0.2689,0.2701,0.4443
2023-02-24 17:27,희귀합성,넵튠 슬레이어,2779,0.2779,0.2701,2.8878
2023-02-24 17:27,희귀합성,암살단 일격,2763,0.2763,0.2701,2.2954
2023-02-24 17:27,희귀합성,바알베크의 집행관,2605,0.2605,0.2701,3.5542
2023-02-24 17:27,희귀합성,미드나잇 아르테미스,2645,0.2645,0.2701,2.0733
2023-02-24 17:27,희귀합성,제롬,1283,0.1283,0.1319,2.7293
2023-02-24 17:27,희귀합성,리치 나이트,1298,0.1298,0.1319,1.5921
2023-02-24 17:27,희귀합성,라르카 강궁병,1360,0.136,0.1319,3.1084
2023-02-24 17:27,희귀합성,릴리안,1286,0.1286,0.1319,2.5019
2023-02-24 17:27,희귀합성,라르카 집행자,1331,0.1331,0.1319,0.9098
2023-02-24 17:27,영웅합성,다크 나이트,17058,1.7058,1.6982,0.4475
2023-02-24 17:27,영웅합성,메타트론 아처,17148,1.7148,1.6982,0.9775
2023-02-24 17:27,영웅합성,데빌헌터,16872,1.6872,1.6982,0.6477
2023-02-24 17:27,영웅합성,메타트론,17086,1.7086,1.6982,0.6124
2023-02-24 17:27,영웅합성,아폴론,17048,1.7048,1.6982,0.3886
2023-02-24 17:27,영웅합성,아르테미스,17008,1.7008,1.6982,0.1531
2023-02-24 17:27,영웅합성,다크 스팅어,17110,1.711,1.6982,0.7537
2023-02-24 17:27,영웅합성,엘더 스팅어,16945,1.6945,1.6982,0.2179
2023-02-24 17:27,영웅합성,크로노스,16994,1.6994,1.6981,0.0766
2023-02-24 17:27,영웅합성,오페르시나,16926,1.6926,1.6981,0.3239
2023-02-24 17:27,영웅합성,크로노스 아처,17011,1.7011,1.6981,0.1767
2023-02-24 17:27,영웅합성,오페르시나 아처,16926,1.6926,1.6981,0.3239
2023-02-24 17:27,영웅합성,비숍,17057,1.7057,1.6981,0.4476
2023-02-24 17:27,영웅합성,에리스,17071,1.7071,1.6981,0.53
2023-02-24 17:27,영웅합성,발키리,16942,1.6942,1.6981,0.2297
2023-02-24 17:27,영웅합성,암살단 암흑,16901,1.6901,1.6981,0.4711
2023-02-24 17:27,영웅합성,넵튠,16732,1.6732,1.6981,1.4663
2023-02-24 17:27,영웅합성,넵튠 아처,16973,1.6973,1.6981,0.0471
2023-02-24 17:27,영웅합성,암살단 칠흑,16948,1.6948,1.6981,0.1943
2023-02-24 17:27,영웅합성,다크 메이지,16926,1.6926,1.6981,0.3239
2023-02-24 17:27,영웅합성,네케브,17004,1.7004,1.6981,0.1354
2023-02-24 17:27,영웅합성,바알베크의 사령관,17103,1.7103,1.6981,0.7185
2023-02-24 17:27,영웅합성,유피테르의 사념,17125,1.7125,1.6981,0.848
2023-02-24 17:27,영웅합성,엘사라드,16840,1.684,1.6981,0.8303
2023-02-24 17:27,영웅합성,아바돈,17010,1.701,1.6981,0.1708
2023-02-24 17:27,영웅합성,아누비스,17066,1.7066,1.6981,0.5006
2023-02-24 17:27,영웅합성,여신 칼리,17116,1.7116,1.6981,0.795
2023-02-24 17:27,영웅합성,센티넬,17002,1.7002,1.6981,0.1237
2023-02-24 17:27,영웅합성,엠퍼사이저,16864,1.6864,1.6981,0.689
2023-02-24 17:27,영웅합성,각성한 라르카,17022,1.7022,1.6981,0.2414
2023-02-24 17:27,영웅합성,스나이퍼 로즈레인,16986,1.6986,1.6981,0.0294
2023-02-24 17:27,영웅합성,카오스 가디언,17066,1.7066,1.6981,0.5006
2023-02-24 17:27,영웅합성,이자벨,17084,1.7084,1.6981,0.6066
2023-02-24 17:27,영웅합성,카를로스,16828,1.6828,1.6981,0.901
2023-02-24 17:27,영웅합성,미드나잇 에르메스,17183,1.7183,1.6981,1.1896
2023-02-24 17:27,영웅합성,레오넬,16743,1.6743,1.6981,1.4016
2023-02-24 17:27,영웅합성,아델리아,17036,1.7036,1.6981,0.3239
2023-02-24 17:27,영웅합성,이안,16874,1.6874,1.6981,0.6301
2023-02-24 17:27,영웅합성,팔란,17018,1.7018,1.6981,0.2179
2023-02-24 17:27,영웅합성,수라,17033,1.7033,1.6981,0.3062
2023-02-24 17:27,영웅합성,베놈리퍼,17122,1.7122,1.6981,0.8303
2023-02-24 17:27,영웅합성,다크 어쌔신,17048,1.7048,1.6981,0.3946
2023-02-24 17:27,영웅합성,오페르시나 어쌔신,16982,1.6982,1.6981,0.0059
2023-02-24 17:27,영웅합성,메타트론 어쌔신,16694,1.6694,1.6981,1.6901
2023-02-24 17:27,영웅합성,넵튠 슬레이어,16919,1.6919,1.6981,0.3651
2023-02-24 17:27,영웅합성,암살단 일격,16754,1.6754,1.6981,1.3368
2023-02-24 17:27,영웅합성,바알베크의 집행관,17122,1.7122,1.6981,0.8303
2023-02-24 17:27,영웅합성,미드나잇 아르테미스,16944,1.6944,1.6981,0.2179
2023-02-24 17:27,영웅합성,제롬,16789,1.6789,1.6981,1.1307
2023-02-24 17:27,영웅합성,리치 나이트,16959,1.6959,1.6981,0.1296
2023-02-24 17:27,영웅합성,라르카 강궁병,17028,1.7028,1.6981,0.2768
2023-02-24 17:27,영웅합성,릴리안,16868,1.6868,1.6981,0.6654
2023-02-24 17:27,영웅합성,라르카 집행자,17113,1.7113,1.6981,0.7773
2023-02-24 17:27,영웅합성,인페르노,5265,0.5265,0.5264,0.019
2023-02-24 17:27,영웅합성,인페르노 아처,5260,0.526,0.5264,0.076
2023-02-24 17:27,영웅합성,인페르노 위저드,5327,0.5327,0.5263,1.216
2023-02-24 17:27,영웅합성,벨켄,5418,0.5418,0.5263,2.9451
2023-02-24 17:27,영웅합성,벨리타,5259,0.5259,0.5263,0.076
2023-02-24 17:27,영웅합성,호텐 플로츠,5297,0.5297,0.5263,0.646
2023-02-24 17:27,영웅합성,카를린,5145,0.5145,0.5263,2.2421
2023-02-24 17:27,영웅합성,네드라스,5282,0.5282,0.5263,0.361
2023-02-24 17:27,영웅합성,바이스,5250,0.525,0.5263,0.247
2023-02-24 17:27,영웅합성,용 수호자 카발,5289,0.5289,0.5263,0.494
2023-02-24 17:27,영웅합성,용 수호자 엘리아,5331,0.5331,0.5263,1.292
2023-02-24 17:27,영웅합성,용 수호자 디트리오,5228,0.5228,0.5263,0.665
2023-02-24 17:27,영웅합성,용 수호자 셀라,5179,0.5179,0.5263,1.596
2023-02-24 17:27,영웅합성,크리스,5296,0.5296,0.5263,0.627
2023-02-24 17:27,영웅합성,인페르노 어쌔신,5270,0.527,0.5263,0.133
2023-02-24 17:27,영웅합성,바다의 헤라켄,5101,0.5101,0.5263,3.0781
2023-02-24 17:27,영웅합성,바람의 유게네스,5193,0.5193,0.5263,1.33
2023-02-24 17:27,영웅합성,불꽃의 벨제뷔트,5345,0.5345,0.5263,1.558
2023-02-24 17:27,영웅합성,대지의 가이아스,5238,0.5238,0.5263,0.475
2023-02-24 17:27,전설합성,인페르노,48015,4.8015,4.7895,0.2505
2023-02-24 17:27,전설합성,인페르노 아처,47714,4.7714,4.7895,0.3779
2023-02-24 17:27,전설합성,인페르노 위저드,47916,4.7916,4.7895,0.0438
2023-02-24 17:27,전설합성,벨켄,47813,4.7813,4.7895,0.1712
2023-02-24 17:27,전설합성,벨리타,47904,4.7904,4.7895,0.0188
2023-02-24 17:27,전설합성,호텐 플로츠,47785,4.7785,4.7895,0.2297
2023-02-24 17:27,전설합성,카를린,48020,4.802,4.7895,0.261
2023-02-24 17:27,전설합성,네드라스,48016,4.8016,4.7895,0.2526
2023-02-24 17:27,전설합성,바이스,48320,4.832,4.7895,0.8874
2023-02-24 17:27,전설합성,용 수호자 카발,48099,4.8099,4.7895,0.4259
2023-02-24 17:27,전설합성,용 수호자 엘리아,48182,4.8182,4.7895,0.5992
2023-02-24 17:27,전설합성,용 수호자 디트리오,47492,4.7492,4.7895,0.8414
2023-02-24 17:27,전설합성,용 수호자 셀라,48085,4.8085,4.7894,0.3988
2023-02-24 17:27,전설합성,크리스,47392,4.7392,4.7895,1.0502
2023-02-24 17:27,전설합성,인페르노 어쌔신,48144,4.8144,4.7895,0.5199
2023-02-24 17:27,전설합성,바다의 헤라켄,48173,4.8173,4.7894,0.5825
2023-02-24 17:27,전설합성,바람의 유게네스,47481,4.7481,4.7894,0.8623
2023-02-24 17:27,전설합성,불꽃의 벨제뷔트,48086,4.8086,4.7894,0.4009
2023-02-24 17:27,전설합성,대지의 가이아스,47595,4.7595,4.7894,0.6243
2023-02-24 17:27,전설합성,메테오스,11195,1.1195,1.125,0.4889
2023-02-24 17:27,전설합성,메테오스 아처,11051,1.1051,1.125,1.7689
2023-02-24 17:27,전설합성,메테오스 위저드,11313,1.1313,1.125,0.56
2023-02-24 17:27,전설합성,메테오스 어쌔신,11256,1.1256,1.125,0.0533
2023-02-24 17:27,전설합성,그리헨텔,11181,1.1181,1.125,0.6133
2023-02-24 17:27,전설합성,그리헨텔 아처,11217,1.1217,1.125,0.2933
2023-02-24 17:27,전설합성,그리헨텔 위저드,11284,1.1284,1.125,0.3022
2023-02-24 17:27,전설합성,그리헨텔 어쌔신,11271,1.1271,1.125,0.1867
